Species,Longitude,Latitude
Ocy_chr,-75.537125,10.330124
Ocy_chr,-75.841417,9.8065556
Ocy_chr,-72.704029,19.121732
Ocy_chr,-76.2022778,9.3714444
Ocy_chr,-72.39485,18.605238
Ocy_chr,-78.46533203,20.58696747
Ocy_chr,-77.933687,9.139929
Ocy_chr,-78.525833,9.431111
Ocy_chr,-77.2934494,8.57578373
Ocy_chr,-82.09893036,21.51544952
Ocy_chr,-81.58589935,21.58564949
Ocy_chr,-87.930603,15.827911
Ocy_chr,-79.434082,21.591964
Ocy_chr,-72.114444,19.728056
Ocy_chr,-79.02118683,9.506466866
Ocy_chr,-75.137787,19.9158
Ocy_chr,-81.50060272,22.14688301
Ocy_chr,-82.80500031,9.738333702
Ocy_chr,-78.95676422,20.79840088
Ocy_chr,-81.09621429,21.73834991
Ocy_chr,-88.804506,16.096908
Ocy_chr,-79.46773529,21.07575035
Ocy_chr,-76.8333333,17.8833333
Ocy_chr,-82.32416534,9.423316956
Ocy_chr,-77.3583333,17.8083333
Ocy_chr,-78.31111908,18.37745094
Ocy_chr,-79.94966888,21.66864967
Ocy_chr,-73,20
Ocy_chr,-77.63175201,18.4963665
Ocy_chr,-79.74095154,19.75818253
Ocy_chr,-44.351628,-2.343124
Ocy_chr,-76.457975,18.183615
Ocy_chr,-79.653519,9.553724
Ocy_chr,-82.69650269,21.48349953
Ocy_chr,-83.17340088,21.59704971
Ocy_chr,-80.1017,24.6683
Ocy_chr,-71.65726,17.916783
Ocy_chr,-81.07793427,19.34390068
Ocy_chr,-84.51371765,21.80943298
Ocy_chr,-79.14499664,22.65472221
Ocy_chr,-62.164551,10.356843
Ocy_chr,-86.85833333,16.09166667
Ocy_chr,-87.94999695,17.91666794
Ocy_chr,-87.84705353,16.71121597
Ocy_chr,-80.965537,24.068452
Ocy_chr,-86.983214,20.469522
Ocy_chr,-87.28784943,18.56681633
Ocy_chr,-69.900343,18.459828
Ocy_chr,-79.46666718,26.10000038
Ocy_chr,-41.65,-2.8667
Ocy_chr,-82.08000183,16.15999985
Ocy_chr,-87.4375,19.84166718
Ocy_chr,-87.58951569,17.18754959
Ocy_chr,-87.53610992,19.14583397
Ocy_chr,-34.8167,-7.5667
Ocy_chr,-54,6
Ocy_chr,-87.75611115,18.49861145
Ocy_chr,-61.656399,10.66579
Ocy_chr,-86.426358,16.357572
Ocy_chr,-61.666667,12.116667
Ocy_chr,-67.23322,17.99116
Ocy_chr,-79.555054,23.536766
Ocy_chr,-85.886809,16.433875
Ocy_chr,-73.6667,20.8667
Ocy_chr,-88.02856445,17.35214996
Ocy_chr,-67.48377,18.37832
Ocy_chr,-79.276298,25.544089
Ocy_chr,-34.9333,-6.8167
Ocy_chr,-66.72467,17.94598
Ocy_chr,-79.75499725,22.94916725
Ocy_chr,-82.88726044,23.02514648
Ocy_chr,-83.03350067,12.0301199
Ocy_chr,-80.21221924,23.15527725
Ocy_chr,-61.77778,16.16972
Ocy_chr,-67.93692,18.0717
Ocy_chr,-81.68000031,12.60000038
Ocy_chr,-77.65083313,22.17777824
Ocy_chr,-83.33000183,12.46000004
Ocy_chr,-66.06125,17.92255
Ocy_chr,-60.997082,14.012658
Ocy_chr,-81.8319417,12.17555
Ocy_chr,-81.36483,13.45833
Ocy_chr,-82.402725,23.208054
Ocy_chr,-79.948065,25.717832
Ocy_chr,-80.90027618,23.28805542
Ocy_chr,-79.84102806,15.8090561
Ocy_chr,-80.063234,13.527659
Ocy_chr,-86.762303,21.264149
Ocy_chr,-80.442634,23.953101
Ocy_chr,-64.66777802,18.34608078
Ocy_chr,-91.57,18.708
Ocy_chr,-64.59570313,17.7429409
Ocy_chr,-73.262921,21.179404
Ocy_chr,-60.838423,11.158571
Ocy_chr,-63.00799942,18.01066589
Ocy_chr,-74.483503,23.978727
Ocy_chr,-78.1944,22.5125
Ocy_chr,-62.75,17.33333
Ocy_chr,-71.31739044,19.88025093
Ocy_chr,-65,17
Ocy_chr,-71.59999847,21.29999924
Ocy_chr,-60.877164,14.753743
Ocy_chr,-38.69588,-12.895984
Ocy_chr,-61.34846115,12.63571644
